"Country","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"South Africa",0,0,0,0,0,0,409572434,560977960,763437511,1223055332,936312860,1665883241,1984012907,1471354231,2714538789,3039916008,3033571719,2633658598,3152779397,4964819233,4247662403,4893787165,4994576991,3742986911,3536759359,3691028385,4670405585
"South Korea",0,0,0,261621004,373087994,571243660,507052763,1024645944,1959693222,3057806570,1922110927,3588507197,4778676982,4835118920,7073598440,8352901262,8578266256,8196599158,9034443445,13502611077,11121002106,12837988602,18409213006,17231496246,13632782340,19329851774,14468409997
"Spain",202513769,239780473,321184917,566154491,752290053,1272334898,1670244065,1596261842,2889162284,5227138319,5678603811,9294834452,7562639243,7553166575,8418313754,10084588989,9501735370,8861606152,8954629166,12228367254,11025311072,13339685744,13234240750,12085769611,11276594130,13446356513,11499053830
"Sri Lanka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30996894,65718044,85229020,98292866,114358175,105578857,79954954,35486664,56224012,91575887
"Sweden",174205188,246569596,360359588,520915176,485733999,616421239,1061045431,1428494335,2439253232,2938422611,2209632399,4828548864,7471433098,8162657150,11031521500,13973119669,11445597600,10921778968,10604905916,12537623011,10406816481,13118582049,17839742466,20631502383,14522643544,16585083286,14563446571
"Switzerland",451262196,432456671,863442884,1256970689,1635694161,2837187425,3477321338,4135665713,5867294134,9155130619,9723088368,15525849351,18456774816,20410928486,26053882979,31456460115,29805987459,27932735310,26519352981,31930086742,28300540252,37893994355,41887827587,46464469283,39403362152,45015186146,40310302707
"Taiwan",0,0,0,195060930,319008053,606199398,583048263,482565214,498522329,616948356,821013139,2721019682,4041483782,3276584443,5584150671,7244019882,7893245567,7041740427,8309512983,11101821517,10432930978,14338639721,19866639962,22898856709,17120727675,22960571396,30707132007
"Tanzania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518548,264922,563979,903598,0,0,0,0,0
"Tanzania *, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215410,0,0,0,0,0,0,0,0,0
"Thailand",0,0,0,0,0,0,48927292,60964067,52725257,59743639,196681100,333716234,481783716,585670980,1033999629,1262212506,1462133675,1238313687,1852358141,2799691335,2389500432,3148562932,2924109650,2864399727,2935772735,2688690743,2607074476
"Tunisia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8237269,10302405,6804472,18565999,21347704,14773912,16760038,12880533,1945059,1543215,1458394,0
"Turkey",0,0,0,11988749,6815008,14988126,43108669,183680417,98766894,158073243,377620736,917246004,1074743616,1162282018,1830017549,1256731979,1689371412,892395600,936973372,1299767433,707476312,803078354,727828202,485090679,1217031756,0,0
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306058130,1573658748
"Uganda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310967,1399833,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,0,0,0,0,0,0,0,25610058,43764571,0,26724588,27025583,29096342,63417915,63214653,47791663,27811258,24958413,13951145,3437545,1067303
"United Arab Emirates",0,0,0,0,0,0,0,4876755,1541247,353417,76500,0,77473947,35029494,127280421,242331048,321636004,285917630,261275598,306060451,346548526,887543295,793180885,1153303730,1766519661,2165790603,3059721593
"United Kingdom",1490688253,1924731438,3035305860,5190989469,6117727559,9681353958,10721163814,13324034831,17881583566,23824627387,22752957871,43222356385,46727499246,53244099246,65917315440,76884401276,67009836445,61132958589,55410037982,67068985627,59168226107,71295634824,66656141437,73741902499,62025057181,69123814363,67279655923
"United States",2676284560,3254522648,4716591131,7615487463,9862125486,18558020891,24344274076,30236826122,33867391881,51356639857,47226019602,83262503395,97613951522,98603980208,119503985042,150423243546,174877530295,182169577072,205537424844,249666591594,245360101758,323394993669,389641136303,450441258689,384799992319,535092452043,719030800204
"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202721,162662137,164658065,257618303,534171154,460992695,478535129,586006566,755721646,517724499,600625373,699314959
"Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446644,0,0,0,0,0,0,0,0,0,0,0,0
"Zambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4226911,939201,0,0,0,0,0,0,0,0,0,0
