Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
New Zealand,174034186,148139259,0,70923563,886169000,1466622000,1439837335,1254530995,305656749,570328289,1113563591,1112348770,1651019200,1343681486,3438297930,4963290370,4846412386,8522773339,9789083124,11136912883,10699639605,11276332956,11251739903,18545044267,21916645049,35311953861,40601089918
Oman,0,0,0,0,0,0,24270073,27414760,25204832,21798042,26966181,0,0,0,0,0,0,2392849,2298654,2363081,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,113324251,274434665,334499483,0,0,0,0,135310978,323902491,640321951,285011104,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,82994586,210700797,46327210,333672156,375394804,427010975,440025674,584908966,641843623,1262657303,797883270,722776337,713822890,300840870,0,1446038155,1837310045,0,2155790058
Philippines,0,0,0,0,0,0,0,-13372525,40310199,250409608,257490825,0,0,0,6513648,1064621253,4977175962,6475690484,6088137350,4606427757,5065114671,3569278778,955083387,0,0,0,0
Poland,0,0,0,0,198175000,701226000,1171600048,1637843478,2422988285,1913284102,2353382182,1180057987,1740506644,2574504540,12599674852,16953144544,20987299457,24309897826,22802616644,15488882723,9149217648,2462623630,2143038992,779234125,1427407655,2893661723,8018989068
Portugal,697237594,732843077,805997361,2036977553,3483419000,3374954000,2228234034,7886150676,16945646508,18978410141,20993025633,10604695984,8776437939,6410228224,1671532659,2161789775,2129636385,2541879087,3519492237,5179048221,4503443358,2950841703,3847895373,2229111186,1394478422,2490296901,6625192887
Puerto Rico,0,0,0,0,0,0,0,0,0,164189165,0,0,0,0,0,0,0,0,0,0,0,0,0,91951765,82555911,83918783,94618764
Qatar,0,0,0,0,0,94740000,89145011,246845231,408172829,332585991,301611871,377358550,468344391,785015677,531868469,621777420,756411918,741886099,359417593,43729282,45057045,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,32412302,0,0,0,0,0,0,0,0,195140262,523500579,588778187,272729308,600802749,0,379421621,1141170150,1416254910,3676595712
Russia,0,0,0,0,0,0,330947908,2465468133,5627918996,5477436963,807319903,1568704649,1122542306,1367403354,16687535589,25554398110,16330648492,17294924003,19012253144,18385037401,10649348292,20238080688,6722461525,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,69972323,60788353,5370181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,1338430000,1993440000,2601926266,4140452155,3615154789,3044179662,3592540421,2610397460,2142146493,574053849,4401536517,6677771917,9752740346,12970647988,12453728876,15435394865,17645048855,12593168933,13987592847,1.48587E+11,1.59765E+11,2.31119E+11,2.27574E+11
Slovakia,0,0,0,0,0,0,0,0,0,292394278,360764015,674619915,831711909,1239767278,1346853248,1719934819,1963384246,1527476018,2174943729,3250418622,3915238498,2486674305,1298337342,2083573332,3039780620,8718895197,7157270005
Slovenia,0,0,0,0,0,144178000,169982756,163252596,265563335,486476033,1025314385,846345414,870471145,997746142,919692188,2186700527,4728381889,5312346241,4896117194,2958536510,4759197823,3535207603,2812664962,942720605,1110958604,1183292892,1422471000
South Africa,0,0,0,0,0,116047000,264947210,283342417,431726956,563576942,392593275,460575003,413834473,952326408,8575528197,11607552015,12094904255,10097021096,13180605604,14233607217,21350301585,20478488180,12475332927,7973653572,13528845628,15780894245,24331903277
South Korea,0,0,0,0,43567000,707293000,1570370817,2060298010,2690615867,2782722588,2876518937,1685976039,1229019086,3333442729,23463433478,34607924730,48889428928,61651221687,65826009989,54871155989,54973930274,68198319559,46018876644,17359376119,29558807480,15838554210,6989437277
Spain,3888923307,3598193808,14518680647,17317318678,8818527000,31370857000,35569567752,41227136907,60755918448,1.0457E+11,1.22335E+11,92632531050,1.00554E+11,88342121091,63339157245,82731339959,94280591348,73308197746,48083074227,59292955127,56564150533,69795535710,70593251417,66494632354,56169104260,85549959948,99455587752
Sri Lanka,0,0,0,0,0,0,0,0,0,37063508,32699422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,1004034013,2274690650,3270560552,4460882977,4403844000,5707346000,7594035723,11347444106,20788502457,37681787293,34860038966,18538760874,21604212178,34781933357,25568071264,38087054947,50457209073,57623780567,50076347967,44291477296,37047423997,29277817258,31839163227,48209464269,43550910098,57265226874,62575743167
Switzerland,1186247846,1587023939,2932575677,5410588309,3208774000,4264763000,5959517528,6621840092,8242440689,12086537220,10115798583,8013426348,11895520006,13564765442,31976978329,32972581638,49028976884,44736545810,42085785832,43135625289,48991093997,37930362196,41197253423,49581627957,50932581886,72932288263,84150374367
Taiwan,0,0,0,0,0,0,0,0,0,26183670,0,15163992,0,0,3897106854,5188403598,6734776775,9891477994,8567491166,573975708,0,0,1783620858,1176022853,0,0,0
Thailand,0,0,0,0,0,0,25344541,61650408,159069509,157518493,177672928,170218454,176147473,163548282,6729061686,9478918728,12022681937,9967309280,11172440544,7001480525,2088416683,0,0,2347914425,0,0,144356519
Trinidad And Tobago,0,0,0,0,0,0,0,0,0,0,37390841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,35813956,0,29513655,46507775,42182688,40334934,37826897,39790037,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,44795833,89663995,57045697,53096136,18004150,17434961,16236921,0,0,0,997363421,1169517353,378384582,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,-121389668,98494465,129944058,78960712,59102441,0,693392524,7273586684,9639028062,25533879952,27483845569,14442414864,13096677862,3379011887,4375580240,651657444,0,0,0,0
Ukraine,0,0,0,0,0,0,0,9293922,23410852,721143131,218892882,0,0,0,0,0,717775767,1727771081,586962373,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,14914916,1286599941,2282717250,1262904591,970432168,1017580310,739036229,521388005,316850510,3663148633,3185421937,2015493605,1383035563,946859951,0,0,0,0,0,0
United Kingdom,2716193543,5684176250,16715436428,29718698304,22584544000,29199236000,27151730604,-9791893478,61241208832,57797596092,2.0436E+11,1.64795E+11,1.90138E+11,1.90901E+11,1.28127E+11,1.28479E+11,1.58465E+11,1.84966E+11,1.73069E+11,1.51441E+11,1.39918E+11,1.39252E+11,1.62301E+11,1.66885E+11,1.89458E+11,2.5605E+11,2.98668E+11
United States of America,20665612205,27798011967,54029928017,93580382984,86572854000,93426929000,1.30498E+11,1.16261E+11,2.4821E+11,1.99202E+11,3.89864E+11,2.77521E+11,3.36108E+11,3.66077E+11,4.28722E+11,5.80068E+11,7.10457E+11,8.81981E+11,9.47289E+11,9.9135E+11,1.00851E+12,1.10231E+12,1.16143E+12,1.34741E+12,1.55126E+12,1.95439E+12,2.58948E+12
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185554625,225046461,256636037,0,0,0,0,0,0,0,0,0
Venezuela,0,0,0,0,0,0,0,8219451,119381614,43369268,129928050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
